id,station_id,target_line_id,order,color_override,hidden
TR-001,L1-S01,T4,1,,
TR-002,L1-S02,L8,1,,
TR-003,L1-S02,L10,2,,
TR-004,L1-S02,T4,3,,
TR-005,L1-S04,T1,1,,
TR-006,L1-S06,L2,1,,
TR-007,L1-S06,L10,2,,
TR-008,L1-S06,T1,3,,
TR-009,L1-S07,L3,1,,
TR-010,L2-S02,L1,1,,
TR-011,L2-S02,L10,2,,
TR-012,L2-S02,T1,3,,
TR-013,L2-S03,L3,1,,
TR-014,L2-S04,L5,1,,
TR-015,L2-S05,L4,1,,
TR-016,L2-S06,T2,1,,
TR-017,L2-S07,T2,1,,
TR-018,L2-S09,L4,1,,
TR-019,L2-S09,L10,2,,
TR-020,L2-S09,T5,3,,
TR-021,L3-S01,L1,1,,
TR-022,L3-S02,L2,1,,
TR-023,L3-S03,L6,1,,
TR-024,L3-S03,L10,2,,
TR-025,L3-S04,L9,1,,
TR-026,L3-S05,L4,1,,
TR-027,L4-S01,L5,1,,
TR-028,L4-S01,L8,2,,
TR-029,L4-S02,L3,1,,
TR-030,L4-S03,L9,1,,
TR-031,L4-S04,L6,1,,
TR-032,L4-S05,L10,1,,
TR-033,L4-S06,L2,1,,
TR-034,L4-S07,T2,1,,
TR-035,L4-S08,T2,1,,
TR-036,L4-S09,L6,1,,
TR-037,L4-S10,L2,1,,
TR-038,L4-S10,L10,2,,
TR-039,L4-S10,T5,3,,
TR-040,L5-S03,T1,1,,
TR-041,L5-S04,L4,1,,
TR-042,L5-S04,L8,2,,
TR-043,L5-S07,L2,1,,
TR-044,L6-S01,L8,1,,
TR-045,L6-S01,T4,2,,
TR-046,L6-S03,T1,1,,
TR-047,L6-S04,T1,1,,
TR-048,L6-S05,L3,1,,
TR-049,L6-S05,L10,2,,
TR-050,L6-S06,L4,1,,
TR-051,L6-S07,T2,1,,
TR-052,L6-S08,L7,1,,
TR-053,L6-S08,T2,2,,
TR-054,L6-S09,T5,1,,
TR-055,L6-S10,L4,1,,
TR-056,L7-S01,T5,1,,
TR-057,L7-S02,L6,1,,
TR-058,L7-S02,T2,2,,
TR-059,L7-S05,L9,1,,
TR-060,L7-S08,T3,1,,
TR-061,L7-S09,T3,1,,
TR-062,L7-S10,L9,1,,
TR-063,L7-S10,T3,2,,
TR-064,L8-S01,L1,1,,
TR-065,L8-S01,L10,2,,
TR-066,L8-S01,T4,3,,
TR-067,L8-S02,T4,1,,
TR-068,L8-S03,L6,1,,
TR-069,L8-S03,T4,2,,
TR-070,L8-S04,L9,1,,
TR-071,L8-S05,T1,1,,
TR-072,L8-S06,L9,1,,
TR-073,L8-S07,L4,1,,
TR-074,L8-S07,L5,2,,
TR-075,L9-S02,L7,1,,
TR-076,L9-S02,T3,2,,
TR-077,L9-S03,L5,1,,
TR-078,L9-S04,L8,1,,
TR-079,L9-S05,L8,1,,
TR-080,L9-S06,L3,1,,
TR-081,L9-S07,L4,1,,
TR-082,L9-S09,L7,1,,
TR-083,L10-S01,T4,1,,
TR-084,L10-S02,L1,1,,
TR-085,L10-S02,L8,2,,
TR-086,L10-S02,T4,3,,
TR-087,L10-S03,T1,1,,
TR-088,L10-S04,L1,1,,
TR-089,L10-S04,L2,2,,
TR-090,L10-S04,T1,3,,
TR-091,L10-S05,L3,1,,
TR-092,L10-S05,L6,2,,
TR-093,L10-S06,L4,1,,
TR-094,L10-S07,L2,1,,
TR-095,L10-S07,L4,2,,
TR-096,L10-S07,T5,3,,
TR-097,R1-S04,T3,1,,
TR-098,R1-S05,T3,1,,
TR-099,R1-S06,T3,1,,
TR-100,R1-S08,L5,1,,
TR-101,R1-S09,L8,1,,
TR-102,R1-S10,L8,1,,
TR-103,R1-S11,L3,1,,
TR-104,R1-S12,L4,1,,
TR-105,T1-S01,L10,1,,
TR-106,T1-S02,L1,1,,
TR-107,T1-S06,L1,1,,
TR-108,T1-S06,L2,2,,
TR-109,T1-S06,L10,3,,
TR-110,T1-S07,L6,1,,
TR-111,T1-S08,L6,1,,
TR-112,T1-S09,L8,1,,
TR-113,T1-S11,L5,1,,
TR-114,T2-S01,L4,1,,
TR-115,T2-S02,L4,1,,
TR-116,T2-S03,L2,1,,
